,group,sub_group,sub_sub_group,dataset,shape,size
0,AwakeEventData,AIRTR01,Acq,numericPosition,"(1,)",1
1,AwakeEventData,AIRTR02,Acq,numericPosition,"(1,)",1
2,AwakeEventData,AWAKEInjPhaseShifter,PhaseReadback,phaseACurrentValue,"(1,)",1
3,AwakeEventData,BLMITT41,Acquisition,acqDesc,"(1,)",1
4,AwakeEventData,BLMITT41,Acquisition,acqMsg,"(1,)",1
5,AwakeEventData,BLMITT41,Acquisition,acqState,"(1,)",1
6,AwakeEventData,BLMITT41,Acquisition,acqTime,"(1,)",1
7,AwakeEventData,BLMITT41,Acquisition,alarmStatus,"(40,)",40
8,AwakeEventData,BLMITT41,Acquisition,blrSignalStatus,"(40,)",40
9,AwakeEventData,BLMITT41,Acquisition,calLosses,"(40,)",40
10,AwakeEventData,BLMITT41,Acquisition,calLosses_unit,"(1,)",1
11,AwakeEventData,BLMITT41,Acquisition,calLosses_unitExponent,"(1,)",1
12,AwakeEventData,BLMITT41,Acquisition,calThresholds,"(40,)",40
13,AwakeEventData,BLMITT41,Acquisition,channelNames,"(15,)",15
14,AwakeEventData,BLMITT41,Acquisition,deviceName,"(1,)",1
15,AwakeEventData,BLMITT41,Acquisition,enableExtFlagBIC,"(2,)",2
16,AwakeEventData,BLMITT41,Acquisition,measStamp,"(1,)",1
17,AwakeEventData,BLMITT41,Acquisition,nbOfChannels,"(1,)",1
18,AwakeEventData,BLMITT41,Acquisition,nbOfMeas,"(1,)",1
19,AwakeEventData,BLMITT41,Acquisition,normLosses,"(40,)",40
20,AwakeEventData,BLMITT41,Acquisition,observables,"(1,)",1
21,AwakeEventData,BLMITT41,Acquisition,rawLosses,"(40,)",40
22,AwakeEventData,BLMITT41,Acquisition,superCycleNb,"(1,)",1
23,AwakeEventData,BLMITT41,Acquisition,totalGains,"(5,)",5
24,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,beamIntensity,"(1,)",1
25,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,beamSize,"(1,)",1
26,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,cogX,"(1,)",1
27,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,cogY,"(1,)",1
28,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,height,"(1,)",1
29,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,horProjAmp,"(1,)",1
30,AwakeEventData,BOVWA.01TCC4.AWAKECAM01,ExtractionImage,horProjAvg,"(1,)",1
